planet_num,planet_name,status,mining_lvl,speed_lvl,cargo_lvl,unlock_price,distance,planet_worth_num,mining_rate,ship_speed,cargo,trip_time,efficiency,deposit
22,Zelene,Locked,0,0,0,200000000.0,9.7,244.2,0.0,0.0,0,0.0,0.0,0.0
23,Han,Locked,0,0,0,400000000.0,9.85,550.5,0.0,0.0,0,0.0,0.0,0.0
24,Strennus,Locked,0,0,0,800000000.0,10.0,613.0,0.0,0.0,0,0.0,0.0,0.0
25,Osun,Locked,0,0,0,1600000000.0,10.15,650.2,0.0,0.0,0,0.0,0.0,0.0
26,Ploitari,Locked,0,0,0,3200000000.0,10.3,880.0,0.0,0.0,0,0.0,0.0,0.0
27,Elysta,Locked,0,0,0,6400000000.0,10.45,1600.0,0.0,0.0,0,0.0,0.0,0.0
28,Tikkun,Locked,0,0,0,12500000000.0,10.6,1770.5,0.0,0.0,0,0.0,0.0,0.0
29,Satent,Locked,0,0,0,25000000000.0,10.75,2392.0,0.0,0.0,0,0.0,0.0,0.0
30,Urla Rast,Locked,0,0,0,50000000000.0,10.9,3166.0,0.0,0.0,0,0.0,0.0,0.0
31,Vular,Locked,0,0,0,100000000000.0,11.05,4790.0,0.0,0.0,0,0.0,0.0,0.0
32,Nibiru,Locked,0,0,0,250000000000.0,11.2,5320.0,0.0,0.0,0,0.0,0.0,0.0
33,Xena,Locked,0,0,0,600000000000.0,11.35,7800.0,0.0,0.0,0,0.0,0.0,0.0
34,Rupert,Locked,0,0,0,1500000000000.0,11.5,6890.0,0.0,0.0,0,0.0,0.0,0.0
35,Pax,Locked,0,0,0,4000000000000.0,11.65,8920.0,0.0,0.0,0,0.0,0.0,0.0
36,Ivyra,Locked,0,0,0,10000000000000.0,11.8,17500.0,0.0,0.0,0,0.0,0.0,0.0
37,Utritis,Locked,0,0,0,25000000000000.0,11.95,22000.0,0.0,0.0,0,0.0,0.0,0.0
38,Dosie,Locked,0,0,0,62000000000000.0,12.1,23900.0,0.0,0.0,0,0.0,0.0,0.0
39,Zulu,Locked,0,0,0,160000000000000.0,12.25,40000.0,0.0,0.0,0,0.0,0.0,0.0
40,Unicae,Locked,0,0,0,400000000000000.0,12.4,50400.0,0.0,0.0,0,0.0,0.0,0.0
41,Dune,Locked,0,0,0,1000000000000000.0,12.55,41480.0,0.0,0.0,0,0.0,0.0,0.0
42,Naraka,Locked,0,0,0,2500000000000000.0,12.7,92000.0,0.0,0.0,0,0.0,0.0,0.0
43,Daedalus,Locked,0,0,0,6200000000000000.0,12.85,97450.0,0.0,0.0,0,0.0,0.0,0.0
44,Clovis,Locked,0,0,0,1.5e+16,13.0,153500.0,0.0,0.0,0,0.0,0.0,0.0
45,Zero,Locked,0,0,0,4e+16,13.15,215000.0,0.0,0.0,0,0.0,0.0,0.0
46,Sotomi,Locked,0,0,0,1e+17,13.3,288750.0,0.0,0.0,0,0.0,0.0,0.0
47,Remidian,Locked,0,0,0,2.5e+17,13.45,342800.0,0.0,0.0,0,0.0,0.0,0.0
48,Muse,Locked,0,0,0,6e+17,13.6,510000.0,0.0,0.0,0,0.0,0.0,0.0
49,Arabis,Locked,0,0,0,1.5e+18,13.75,880000.0,0.0,0.0,0,0.0,0.0,0.0
50,Vesna,Locked,0,0,0,3.8e+18,13.9,836000.0,0.0,0.0,0,0.0,0.0,0.0
51,Chandra,Locked,0,0,0,1e+19,14.05,1250000.0,0.0,0.0,0,0.0,0.0,0.0
52,Vega,Locked,0,0,0,2.5e+19,14.2,1516750.0,0.0,0.0,0,0.0,0.0,0.0
53,Crius,Locked,0,0,0,6e+19,14.35,1707500.0,0.0,0.0,0,0.0,0.0,0.0
54,Singhana,Locked,0,0,0,1.5e+20,14.5,3200000.0,0.0,0.0,0,0.0,0.0,0.0
55,Zumbia,Locked,0,0,0,3.6e+20,14.65,3390000.0,0.0,0.0,0,0.0,0.0,0.0
56,Elysium,Locked,0,0,0,9e+20,14.8,5604000.0,0.0,0.0,0,0.0,0.0,0.0
57,Nyota,Locked,0,0,0,2.6e+21,14.95,9000000.0,0.0,0.0,0,0.0,0.0,0.0
58,Doral,Locked,0,0,0,7.5e+21,15.1,10480000.0,0.0,0.0,0,0.0,0.0,0.0
59,Nikara,Locked,0,0,0,2.1e+22,15.25,19975000.0,0.0,0.0,0,0.0,0.0,0.0
60,Limbo,Locked,0,0,0,5.9e+22,15.4,28000000.0,0.0,0.0,0,0.0,0.0,0.0
61,Bob,Locked,0,0,0,1.7e+23,15.55,46600000.0,0.0,0.0,0,0.0,0.0,0.0
62,Midas,Locked,0,0,0,4.6e+23,15.7,50940000.00000001,0.0,0.0,0,0.0,0.0,0.0
63,Antigone,Locked,0,0,0,1.3e+24,15.85,90000000.0,0.0,0.0,0,0.0,0.0,0.0
64,Hecate,Locked,0,0,0,3.9e+24,16.0,127000000.0,0.0,0.0,0,0.0,0.0,0.0
65,Sterop,Locked,0,0,0,1.0999999999999998e+25,16.15,199800000.0,0.0,0.0,0,0.0,0.0,0.0
66,Lavinia,Locked,0,0,0,3.3e+25,16.3,300000000.0,0.0,0.0,0,0.0,0.0,0.0
67,Ren,Locked,0,0,0,9.5e+25,16.45,338000000.0,0.0,0.0,0,0.0,0.0,0.0
68,Gorgon,Locked,0,0,0,2.7000000000000004e+26,16.6,671200000.0,0.0,0.0,0,0.0,0.0,0.0
69,Pontus,Locked,0,0,0,8e+26,16.75,940000000.0,0.0,0.0,0,0.0,0.0,0.0
70,Leto,Locked,0,0,0,2.4000000000000005e+27,16.9,1100000000.0,0.0,0.0,0,0.0,0.0,0.0
71,Laconia,Locked,0,0,0,6.920000000000001e+27,17.05,1420000000.0,0.0,0.0,0,0.0,0.0,0.0
72,Awohali,Locked,0,0,0,2.08e+28,17.2,3037000000.0,0.0,0.0,0,0.0,0.0,0.0
73,Pegasi,Locked,0,0,0,6.23e+28,17.35,4300000000.0,0.0,0.0,0,0.0,0.0,0.0
74,Typhon,Locked,0,0,0,1.78e+29,17.5,9780000000.0,0.0,0.0,0,0.0,0.0,0.0
75,Surtur,Locked,0,0,0,5.16e+29,17.65,12930000000.0,0.0,0.0,0,0.0,0.0,0.0
76,Vesta,Locked,0,0,0,1.81e+30,17.8,18000000000.0,0.0,0.0,0,0.0,0.0,0.0
